Filename,Hue Std Interval,Contrast Interval,CIVE Interval
frame_0016_jpg.rf.22adf40cf4c16c6a6db693c2cc64e7c1.jpg,1,1,3
frame_0037_jpg.rf.825b65cccc8f7b5ff0c2ef650c281c85.jpg,2,2,1
frame_0025-Copia-1-_jpg.rf.f41c537d0e74eca946eb593e25288da2.jpg,2,2,3
frame_0055_jpg.rf.440b9803a9766de971934b5a891db20f.jpg,1,1,4
frame_0059-Copia-1-_jpg.rf.5135fec08eb1bc86a75c905e2573729d.jpg,4,4,1
frame_0045-Copia-1-_jpg.rf.dce15745b727371e26cad012bef134df.jpg,3,3,1
frame_0019-Copia-1-_jpg.rf.d5004a7b2428c4a191829983abab9ed1.jpg,3,3,2
frame_0012_jpg.rf.8bd1ae157df2912c18f8c98816622c6b.jpg,3,3,4
frame_0034_jpg.rf.9c450b5224745aafddee5d0425272b0b.jpg,4,4,1
frame_0019_jpg.rf.2a6da548e9e53ced8e30ea6aea1ec799.jpg,2,2,1
frame_0251_jpg.rf.96ea8c0d12cb3cdecc8b9c98f9836e2b.jpg,2,2,3
frame_0012_jpg.rf.69e6a3ee5ad7853e33f54f834388df5f.jpg,4,4,2
frame_0005_jpg.rf.bf972b6f6d7416feee3a7bc09a5c707f.jpg,3,3,2
frame_0254_jpg.rf.5e760ea6364c8ec832bdc06cb525e894.jpg,4,4,2
frame_0040-Copia-1-_jpg.rf.a17e20afa774fb362b1de03e28109e03.jpg,2,2,2
frame_0041-Copia-1-_jpg.rf.936a50c3a7eb27505a9f2bc32d7789fc.jpg,3,3,2
frame_0054_jpg.rf.5e801df03796f6e37c60557e4ed79a8c.jpg,1,1,4
frame_0036_jpg.rf.410b189a4b0420774c34289bb5dc9f57.jpg,2,2,3
frame_0037-Copia-1-_jpg.rf.514df0a9a29f87a4eaec8dfb5387f84e.jpg,4,4,3
frame_0025_jpg.rf.382782769b8e41da1eb1bd4ff0c01b9a.jpg,3,3,3
frame_0056_jpg.rf.06d313e34af2ef375f4be15056f49065.jpg,1,1,4
frame_0047_jpg.rf.d310c43958bb1cd0f0f824aabe926026.jpg,1,1,4
frame_0036_jpg.rf.9321c7a25363ad3c89cbbc01ba36403b.jpg,3,3,1
frame_0243_jpg.rf.55342b5ca7f4d84d0915a6ef67886f75.jpg,2,2,3
frame_0058-Copia-1-_jpg.rf.62fea058d7ea3459d5188288cc05cfc7.jpg,4,4,1
frame_0006_jpg.rf.6bcafcdc85347bd4a76eac957ee6bb2b.jpg,1,1,3
frame_0035_jpg.rf.d661e5c1ef54e1b9281f965d5d5a61eb.jpg,1,1,3
frame_0038_jpg.rf.6b5d026ef780097105d320bd47dee751.jpg,1,1,4
frame_0045_jpg.rf.b1368a36b104c63756296e1af38df178.jpg,1,1,3
frame_0052_jpg.rf.82897ad1f94050e7b9e87ac7b2ac1d29.jpg,1,1,4
frame_0034-Copia-1-_jpg.rf.722f286762e6b56c7c712974150d29a9.jpg,3,3,4
frame_0050_jpg.rf.97daac367c7f524f71b17ff19dc08e82.jpg,1,1,4
frame_0023_jpg.rf.a4304d942dde599379d1071d358c29ae.jpg,3,3,4
frame_0028-Copia-1-_jpg.rf.826c92b09e5742deb48d744060ebb13f.jpg,2,2,4
frame_0058_jpg.rf.fe5b7c3fb2c33e60c52ed0df02a9ef34.jpg,1,1,4
frame_0026_jpg.rf.e4f544e03de6415dce4c635152ad402d.jpg,3,3,3
frame_0029-Copia-1-_jpg.rf.564ac958965cc1a76e23b254366e3a47.jpg,3,3,3
frame_0033-Copia-1-_jpg.rf.3ebaeff4363b742ffd119d5e725afb83.jpg,3,3,4
frame_0002_jpg.rf.f138d48d95cdd15653758d33c85e7b98.jpg,4,4,1
frame_0001_jpg.rf.af301acf48fd528c3117f9838b30a537.jpg,3,3,2
frame_0021-Copia-1-_jpg.rf.be08eb36423a64fb378eb165ff51a4ee.jpg,2,2,3
frame_0042_jpg.rf.eeca48de234d2824e38c71f321dd91bd.jpg,1,1,4
frame_0249_jpg.rf.d33720f1304d383c749e18cc08dea6db.jpg,2,2,3
frame_0015_jpg.rf.ed9de3cb0b4f1ea18cc4b7db26c0b95d.jpg,1,1,2
frame_0042_jpg.rf.98f0a80c96fd90c484d4e7c344fab84b.jpg,1,1,1
frame_0007_jpg.rf.497276d7fc85e6fa3bfd49a331018463.jpg,2,2,2
frame_0013-Copia-1-_jpg.rf.88e96021a3861984d0aeb6381cd4c2fb.jpg,4,4,1
frame_0057-Copia-1-_jpg.rf.536929a7ba93d26a9fdd13c21d9afbf5.jpg,3,3,2
frame_0010_jpg.rf.d481c9f9c7e27b0afc9380847e94ceb5.jpg,4,4,2
frame_0006_jpg.rf.63ac2b799fc6ab0c5acee6642f741935.jpg,2,2,4
frame_0017-Copia-1-_jpg.rf.44c83e6a48379f772663410081132f88.jpg,3,3,2
frame_0027_jpg.rf.0e2b9b5366ff96f6dc1c20d08d59ca49.jpg,4,4,2
frame_0011_jpg.rf.5e71837fcb2fc198db76abf389e95150.jpg,4,4,2
frame_0035-Copia-1-_jpg.rf.3d07d94992842a212ae3a431d9948a28.jpg,3,3,3
frame_0040_jpg.rf.4af72a67e86f366d5b6afcc7082fa12e.jpg,1,1,4
frame_0048-Copia-1-_jpg.rf.af81bf844d20c8b4d342ee0c603507e7.jpg,3,3,1
frame_0029_jpg.rf.e4cd71c3b700a775078f7c02f85aa6b4.jpg,2,2,2
frame_0036-Copia-1-_jpg.rf.ef9c55bc0a6ada8db9c93ef265658e2a.jpg,3,3,3
frame_0053-Copia-1-_jpg.rf.95a26dc43bdd4e8af65602fc5de149ca.jpg,3,3,2
frame_0011_jpg.rf.90f6612af22fde8dbdfda062d5c794d4.jpg,3,3,4
frame_0047-Copia-1-_jpg.rf.f23ee65294a2ddf57e2aafb9ca3d6514.jpg,4,4,1
frame_0035_jpg.rf.63abbb32f7a60bbcb14dd636cae7eee7.jpg,3,3,1
frame_0040_jpg.rf.aab71f0c52d1e5fb3edf99dae6f38de1.jpg,2,2,1
frame_0031_jpg.rf.1156a4eaacbec374c6b989f859c08498.jpg,3,3,2
frame_0023-Copia-1-_jpg.rf.af6f4ee9a981fef0e3dab137d08eea5d.jpg,3,3,2
frame_0248_jpg.rf.1534ece9a596821d4a21a07afcb58373.jpg,2,2,2
frame_0032_jpg.rf.286b3626107570a68c3a7f5aa4f8a59d.jpg,4,4,2
frame_0033_jpg.rf.c97ff7903345bcfd0b8958b7887c0f85.jpg,2,2,1
frame_0023_jpg.rf.603bc6b3ee4c3de7704d33706240c355.jpg,1,1,3
frame_0053_jpg.rf.60c9a892ae908dda7dc354710d4a1508.jpg,1,1,4
frame_0016_jpg.rf.4099edaaef15fd75ee82ed46c5c3e05a.jpg,2,2,4
frame_0051-Copia-1-_jpg.rf.e0a49de5be96bb8760dc878f0a36a368.jpg,4,4,1
frame_0043_jpg.rf.50e895ec5e799c3d7ff6b8e2a9ea497e.jpg,1,1,4
frame_0017_jpg.rf.a03e34a319260782432524fb17cb5d57.jpg,4,4,4
frame_0247_jpg.rf.0fbfb6662292d032dd1d158c05ac2b3d.jpg,2,2,3
frame_0252_jpg.rf.f685d90adb983dc8dafa4ae700342521.jpg,2,2,2
frame_0043_jpg.rf.61bf66f9fa9539e12f0903ebef419470.jpg,1,1,1
frame_0012-Copia-1-_jpg.rf.f467286d0e6fa849209cc69b8e256131.jpg,4,4,1
frame_0018_jpg.rf.f457a2bb0b3893c7af0f0b981088243d.jpg,2,2,2
frame_0054-Copia-1-_jpg.rf.b843fb83d91d9046cc484a00dea9cbd1.jpg,2,2,2
frame_0042-Copia-1-_jpg.rf.8a060b24dd4150f5ef484376270a448e.jpg,3,3,1
frame_0022_jpg.rf.53dae559c4a0196103cba3e1e68c43a5.jpg,3,3,4
frame_0021_jpg.rf.7497bf20fb4246b58a118fc3ac2cffd8.jpg,2,2,2
frame_0029_jpg.rf.4233197830a89ff7b033d4db1527d333.jpg,3,3,3
frame_0007_jpg.rf.679a22548e86069ff31016fcc2bc9203.jpg,2,2,3
frame_0024_jpg.rf.d0bed58bcf73f3e3a213b941bde02fc1.jpg,1,1,3
frame_0050-Copia-1-_jpg.rf.45774c0afdd324712a54a61bcc2fe65f.jpg,3,3,2
frame_0003-Copia-1-_jpg.rf.5d774f62a12ada2e50bc012961e75c73.jpg,3,3,1
frame_0018-Copia-1-_jpg.rf.6c96d679ac7b364bcb5380a7e0577a3e.jpg,2,2,2
frame_0037_jpg.rf.81ca749e12b6bb574a6ab41c8ab15574.jpg,2,2,3
frame_0013_jpg.rf.fcc8601bafe953e464f372e4997208af.jpg,3,3,4
frame_0022_jpg.rf.566c11bf756f083eb8ce7bf909b6a7ea.jpg,1,1,3
